地域,サービス提供期間,年齢,結婚状態,現住所居住期間,世帯収入,教育レベル,現職就業期間,退職,性別,家族構成人数,無料長距離電話サービス,通信装置レンタル,コールカードサービス,ワイヤレスサービス,前月の長距離サービス利用量,前月の無料長距離電話サービス利用量,前月の通信装置のレンタル利用量,前月のコールカードサービス利用量,前月のワイヤレスサービス利用量,全期間の長距離サービス利用量,全期間の無料長距離電話サービス利用量,全期間の通信装置のレンタル利用量,全期間のコールカードサービス利用量,全期間のワイヤレスサービス利用量,複数回線の有無,ヴォイスメールサービス,呼び出しサービス,インターネットサービス,発信者番号通知サービス,通話中着信サービス,着信転送サービス,三者通話サービス,電子請求サービス,log(前月の長距離サービス利用量）,log(前月の無料長距離電話サービス利用量）,log(前月の通信装置のレンタル利用量）,log(前月のコールカードサービス利用量）,log(前月のワイヤレスサービス利用量）,log(世帯収入),顧客区分,Churn
Zone 2,32,54,Unmarried,6,155,High school degree,20,No,Male,1,No,No,No,No,16.35,0,0,0,0,528.5,0,0,0,0,No,No,No,No,No,No,No,No,No,2.794228,,,,,5.043425,Basic service,No
Zone 1,49,54,Unmarried,24,30,High school degree,5,No,Male,1,No,No,Yes,No,15.5,0,0,14.25,0,754.8,0,0,625,0,Yes,No,No,No,No,No,Yes,No,No,2.74084,,,2.656757,,3.401197,E-service,No
Zone 2,2,28,Unmarried,7,46,Some college,0,No,Female,1,No,No,No,Yes,3.45,0,0,0,15.1,6.55,0,0,0,10.45,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,1.238374,,,,2.714695,3.828641,Total service,No
Zone 1,39,47,Unmarried,1,68,College degree,10,No,Female,2,No,No,No,No,8.3,0,0,0,0,308.55,0,0,0,0,Yes,No,No,Yes,No,No,No,No,Yes,2.116256,,,,,4.219508,E-service,Yes
Zone 1,42,33,Unmarried,2,67,High school degree,5,No,Male,2,No,No,Yes,No,6.7,0,0,25.25,0,270.2,0,0,1075,0,Yes,No,No,No,No,No,No,Yes,No,1.902108,,,3.228826,,4.204693,E-service,No
Zone 1,28,36,Unmarried,3,69,Some college,2,No,Male,1,Yes,Yes,Yes,Yes,6.05,25.25,41.55,31.75,36.6,153.05,697.05,1117.15,835,1020.95,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1.800058,3.228826,3.726898,3.457893,3.600048,4.234107,Total service,No
Zone 2,41,46,Married,14,47,High school degree,11,No,Male,5,Yes,Yes,Yes,Yes,6.3,41.25,55.8,20,50.95,279.7,1665,2197.6,830,1956.7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.84055,3.719651,4.021774,2.995732,3.930845,3.850148,Total service,No
Zone 3,67,50,Married,31,83,High school degree,12,No,Male,2,No,Yes,Yes,No,29.45,0,22.65,19,0,1921.55,0,1515.4,1240,0,Yes,No,No,No,No,No,No,No,Yes,3.382694,,3.12016,2.944439,,4.418841,E-service,No
Zone 1,38,40,Unmarried,15,34,High school degree,11,No,Female,1,No,Yes,Yes,No,4.25,0,19.8,7,0,157.6,0,779.65,275,0,Yes,No,No,Yes,No,No,No,No,No,1.446919,,2.985682,1.94591,,3.526361,E-service,No
Zone 2,18,38,Unmarried,8,45,High school degree,2,No,Female,4,Yes,Yes,Yes,Yes,2.7,31.5,36.25,15,23.4,45.6,609.2,654.75,270,422.5,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0.993252,3.449988,3.590439,2.70805,3.152736,3.806662,Total service,Yes
Zone 2,6,42,Married,17,29,High school degree,2,No,Female,2,Yes,No,Yes,Yes,4.3,25.75,0,29,31.9,13.4,159.15,0,165,162,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.458615,3.248435,,3.367296,3.462606,3.367296,Total service,No
Zone 2,4,36,Unmarried,0,21,High school degree,1,No,Female,3,No,No,No,No,3.3,0,0,0,0,22.1,0,0,0,0,No,No,No,No,No,No,No,Yes,No,1.193922,,,,,3.044522,Basic service,No
Zone 1,13,23,Married,3,30,Some college,0,No,Female,4,Yes,Yes,No,No,5.15,24.25,28.85,0,0,53.5,294.55,294.35,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1.638997,3.188417,3.36211,,,3.401197,Total service,No
Zone 1,20,35,Unmarried,0,78,College degree,7,No,Male,1,No,Yes,No,Yes,5.5,0,46.1,0,35.25,97.15,0,825.45,0,701.05,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1.704748,,3.830813,,3.562466,4.356709,Total service,Yes
Zone 1,34,49,Married,27,61,Some college,15,No,Female,2,Yes,No,No,No,12.65,34.25,0,0,0,414.9,1119.35,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.537657,3.533687,,,,4.110874,Plus service,No
Zone 1,46,29,Married,4,90,Post-undergraduate degree,3,No,Male,4,Yes,No,Yes,Yes,16.85,40.5,0,34.5,39.8,736.45,1817.75,0,1480,1783.15,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.824351,3.701302,,3.540959,3.683867,4.49981,Total service,No
Zone 1,48,41,Unmarried,21,43,High school degree,7,No,Male,1,No,No,Yes,No,19.5,0,0,11.75,0,887.7,0,0,530,0,Yes,No,No,No,No,No,No,No,No,2.970414,,,2.463853,,3.7612,E-service,No
Zone 3,69,61,Married,12,301,High school degree,37,No,Male,2,Yes,Yes,Yes,Yes,26.05,36.75,41.85,16.25,38.45,1738.15,2589.3,2768.85,1110,2590.2,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.260018,3.604138,3.734092,2.788093,3.649359,5.70711,Plus service,No
Zone 1,32,34,Married,7,32,High school degree,15,No,Male,4,No,No,No,No,9.25,0,0,0,0,285.75,0,0,0,0,No,No,No,No,No,No,No,Yes,No,2.224624,,,,,3.465736,Basic service,No
Zone 1,29,29,Unmarried,9,41,High school degree,9,No,Male,2,Yes,Yes,No,No,4.75,23,37.45,0,0,112,626.6,1010.1,0,0,Yes,No,No,No,No,No,Yes,Yes,Yes,1.558145,3.135494,3.623007,,,3.713572,E-service,No
Zone 3,55,52,Unmarried,22,127,Did not complete high school,28,No,Female,3,No,No,Yes,No,7.05,0,0,20.25,0,400.55,0,0,1150,0,Yes,Yes,No,No,No,No,No,No,Yes,1.953028,,,3.008155,,4.844187,E-service,No
Zone 3,72,60,Married,36,271,Did not complete high school,43,No,Female,2,No,No,Yes,No,21.7,0,0,52.25,0,1580.4,0,0,3665,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.077312,,,3.95604,,5.602119,Plus service,No
Zone 3,29,26,Unmarried,1,32,Some college,2,No,Female,1,No,No,Yes,No,3.4,0,0,15.75,0,111.5,0,0,440,0,No,Yes,No,No,No,No,No,Yes,No,1.223775,,,2.75684,,3.465736,Basic service,Yes
Zone 2,50,25,Married,1,36,College degree,2,No,Female,5,No,Yes,Yes,Yes,13.05,0,40.6,10.25,40.85,682.2,0,1928.2,545,1964.2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2.568788,,3.703768,2.327278,3.709907,3.583519,Total service,No
Zone 3,35,50,Married,11,293,Some college,21,No,Male,2,No,Yes,No,No,12.25,0,23.9,0,0,416.4,0,793.4,0,0,No,No,No,No,No,No,No,No,Yes,2.505526,,3.173878,,,5.680173,Basic service,Yes
Zone 3,11,63,Unmarried,9,41,Some college,3,No,Male,1,No,Yes,No,No,4.15,0,29.9,0,0,46.35,0,299.65,0,0,No,No,No,Yes,No,No,No,No,Yes,1.423108,,3.397858,,,3.713572,Basic service,Yes
Zone 1,9,29,Unmarried,9,39,Some college,5,No,Female,1,No,No,No,No,4.2,0,0,0,0,22,0,0,0,0,No,No,No,No,No,No,No,No,Yes,1.435085,,,,,3.663562,Basic service,No
Zone 2,51,48,Unmarried,27,58,Did not complete high school,18,No,Male,1,Yes,No,Yes,No,19.2,25.75,0,9.25,0,964.85,1320.05,0,390,0,No,No,No,No,Yes,No,Yes,Yes,No,2.95491,3.248435,,2.224624,,4.060443,Plus service,Yes
Zone 1,33,34,Married,2,28,Did not complete high school,3,No,Female,3,No,No,No,No,13.4,0,0,0,0,438.9,0,0,0,0,Yes,No,No,Yes,Yes,No,No,No,No,2.595255,,,,,3.332205,E-service,No
Zone 1,25,20,Unmarried,0,15,High school degree,0,No,Male,2,Yes,No,Yes,No,10.7,23,0,18.75,0,296.75,572.25,0,405,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.370244,3.135494,,2.931194,,2.70805,Plus service,No
Zone 3,31,34,Unmarried,9,105,College degree,7,No,Female,4,No,No,Yes,No,6.45,0,0,5.75,0,182.35,0,0,170,0,No,No,No,No,No,Yes,No,Yes,No,1.86408,,,1.7492,,4.65396,Plus service,No
Zone 2,67,40,Married,10,80,College degree,8,No,Female,2,Yes,Yes,Yes,Yes,33.05,21.75,53.55,18.75,48.05,2225.15,1391.6,3532.1,1215,3185.35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.498022,3.079614,3.980616,2.931194,3.872242,4.382027,Total service,No
Zone 3,55,45,Unmarried,8,36,High school degree,9,No,Male,3,Yes,No,Yes,No,25.65,41.75,0,11.75,0,1423,2294.75,0,630,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.244544,3.731699,,2.463853,,3.583519,Plus service,No
Zone 3,19,50,Unmarried,7,112,College degree,3,No,Female,1,No,Yes,Yes,Yes,7.15,0,44.8,14.25,46.55,160.2,0,817.25,265,893.75,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1.967112,,3.802208,2.656757,3.840527,4.718499,Total service,No
Zone 1,39,34,Married,11,55,College degree,10,No,Female,4,Yes,Yes,Yes,Yes,18.45,33.75,56.95,35.5,47.85,742.5,1307.8,2171.65,1385,1867.5,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.915064,3.51898,4.042174,3.569533,3.868071,4.007333,Total service,No
Zone 2,52,35,Married,8,40,College degree,1,No,Male,2,Yes,Yes,Yes,Yes,10.75,33.5,35.3,11,44.6,546.65,1772.35,1726.45,615,2407.15,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2.374906,3.511545,3.563883,2.397895,3.797734,3.688879,Plus service,No
Zone 3,55,37,Married,15,23,High school degree,0,No,Female,5,Yes,No,Yes,No,12.95,32.5,0,26.25,0,716.25,1783.55,0,1355,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.561096,3.48124,,3.267666,,3.135494,Plus service,No
Zone 2,25,62,Unmarried,27,28,College degree,33,Yes,Female,1,Yes,Yes,Yes,Yes,8.3,14.75,52,18,47,160.4,359.25,1183.65,430,1117.55,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2.116256,2.691243,3.951244,2.890372,3.850148,3.332205,Total service,Yes
Zone 3,33,58,Unmarried,12,21,High school degree,23,Yes,Female,1,No,No,Yes,No,8.8,0,0,20.75,0,264.05,0,0,690,0,No,No,No,No,No,No,No,No,No,2.174752,,,3.032546,,3.044522,Basic service,No
Zone 2,48,35,Unmarried,5,63,College degree,12,No,Male,2,No,No,Yes,No,13.4,0,0,27.5,0,560.55,0,0,1315,0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,2.595255,,,3.314186,,4.143135,Plus service,Yes
Zone 2,48,31,Married,12,52,College degree,3,No,Male,3,Yes,Yes,Yes,Yes,8.15,26.5,50.95,31.75,55.55,364.8,1323.5,2289.7,1410,2725.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.098018,3.277145,3.930845,3.457893,4.017284,3.951244,Total service,No
Zone 2,49,57,Unmarried,3,189,Did not complete high school,31,No,Female,3,No,No,Yes,No,11,0,0,8.75,0,476.15,0,0,405,0,No,No,No,No,No,No,No,No,No,2.397895,,,2.169054,,5.241747,Basic service,No
Zone 3,54,32,Married,0,50,Did not complete high school,15,No,Male,3,Yes,Yes,Yes,No,18.15,46.25,49.2,21.25,0,958.7,2530.9,2610.6,1105,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.898671,3.834061,3.895894,3.056357,,3.912023,Plus service,Yes
Zone 1,45,32,Married,9,23,Did not complete high school,15,No,Male,4,No,No,No,No,9.85,0,0,0,0,469.1,0,0,0,0,No,No,No,No,No,No,No,No,No,2.287471,,,,,3.135494,Basic service,No
Zone 3,4,37,Married,1,33,High school degree,15,No,Female,5,No,Yes,No,No,2.45,0,21.9,0,0,19.25,0,65.1,0,0,No,No,No,Yes,No,No,No,No,Yes,0.896088,,3.086487,,,3.496508,Basic service,Yes
Zone 3,49,27,Married,3,29,Some college,6,No,Female,3,No,Yes,No,No,10.4,0,44,0,0,476.45,0,2096.75,0,0,Yes,Yes,No,Yes,No,No,No,No,Yes,2.341806,,3.78419,,,3.367296,E-service,Yes
Zone 2,23,35,Unmarried,2,96,Some college,4,No,Male,1,No,Yes,Yes,Yes,6.4,0,37.6,22.75,46.2,160.3,0,788.4,450,979.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.856298,,3.627004,3.124565,3.83298,4.564348,Total service,Yes
Zone 2,31,44,Unmarried,23,80,Post-undergraduate degree,15,No,Male,1,Yes,Yes,No,No,14.05,9.25,30.35,0,0,465.2,306.05,916.5,0,0,Yes,No,No,Yes,No,No,No,No,Yes,2.642622,2.224624,3.412797,,,4.382027,E-service,Yes
Zone 2,55,44,Married,2,68,High school degree,15,No,Male,5,Yes,No,Yes,No,6.6,43.5,0,29.5,0,350.85,2423.3,0,1685,0,No,No,No,No,Yes,Yes,Yes,Yes,No,1.88707,3.772761,,3.38439,,4.219508,Plus service,No
Zone 1,9,28,Unmarried,7,30,Did not complete high school,4,No,Female,6,No,No,No,No,4.2,0,0,0,0,47.45,0,0,0,0,No,No,No,No,No,No,No,No,No,1.435085,,,,,3.401197,Basic service,No
Zone 2,55,57,Married,25,34,High school degree,12,No,Male,3,No,No,Yes,No,14.6,0,0,29.5,0,785.4,0,0,1600,0,No,No,No,No,No,No,No,No,No,2.681022,,,3.38439,,3.526361,Basic service,No
Zone 1,34,30,Unmarried,3,35,High school degree,2,No,Female,3,Yes,No,Yes,No,9.05,21.5,0,8,0,333,695.95,0,275,0,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,2.202765,3.068053,,2.079442,,3.555348,Plus service,No
Zone 1,10,23,Unmarried,4,36,High school degree,1,No,Male,3,Yes,No,Yes,No,8.55,14.75,0,22,0,86.05,142.05,0,200,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.145931,2.691243,,3.091042,,3.583519,Plus service,No
Zone 2,62,76,Unmarried,20,35,Some college,18,Yes,Female,1,No,No,Yes,No,17.25,0,0,17.75,0,1045.7,0,0,1085,0,Yes,No,No,No,Yes,No,No,No,Yes,2.847812,,,2.876386,,3.555348,E-service,No
Zone 2,51,36,Unmarried,13,62,Some college,9,No,Male,2,Yes,No,Yes,Yes,5.65,36.25,0,19.75,40.4,305.75,1872.75,0,995,2005.45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1.731656,3.590439,,2.983153,3.69883,4.127134,Total service,No
Zone 1,65,48,Unmarried,28,94,Did not complete high school,25,No,Male,1,No,No,Yes,No,10.4,0,0,22.5,0,664.65,0,0,1470,0,Yes,No,No,No,No,No,No,No,No,2.341806,,,3.113515,,4.543295,E-service,No
Zone 3,53,33,Unmarried,1,60,Did not complete high school,6,No,Male,2,Yes,No,Yes,Yes,17.65,28.5,0,41,28.55,950.7,1502.2,0,2170,1524.6,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.870736,3.349904,,3.713572,3.351657,4.094345,Total service,No
Zone 1,23,35,Unmarried,4,118,High school degree,11,No,Male,1,No,Yes,No,No,7.9,0,30.15,0,0,196.95,0,672.4,0,0,No,Yes,No,Yes,No,No,No,No,Yes,2.066863,,3.406185,,,4.770685,Basic service,Yes
Zone 3,1,30,Unmarried,3,135,College degree,3,No,Male,3,Yes,Yes,Yes,No,1.1,5.75,22.8,2.75,0,1.1,5.75,22.8,2.75,0,No,No,No,Yes,Yes,No,No,No,Yes,0.09531,1.7492,3.126761,1.011601,,4.905275,Basic service,Yes
Zone 3,66,55,Unmarried,20,80,High school degree,24,No,Female,1,Yes,No,Yes,No,14,30.75,0,14.75,0,938.35,2128.2,0,965,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.639057,3.42589,,2.691243,,4.382027,Plus service,No
Zone 3,8,27,Married,0,21,Some college,3,No,Female,2,No,Yes,No,No,3.65,0,36.45,0,0,38.05,0,235.75,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.294727,,3.595941,,,3.044522,E-service,No
Zone 3,18,28,Married,3,22,Did not complete high school,2,No,Female,5,No,No,Yes,No,3.15,173,0,9.5,0,55.55,0,0,175,0,No,No,No,No,No,No,No,No,No,1.147402,5.153292,,2.251292,,3.091042,Basic service,No
Zone 3,36,32,Married,3,63,College degree,7,No,Male,4,No,Yes,Yes,No,6.2,0,29.55,12.75,0,229.5,0,991.35,415,0,Yes,No,No,Yes,No,No,No,Yes,No,1.824549,,3.386084,2.545531,,4.143135,E-service,No
Zone 1,13,40,Unmarried,16,142,High school degree,18,No,Female,1,No,No,No,No,8.45,0,0,0,0,109.85,0,0,0,0,No,No,No,No,No,No,No,No,No,2.134166,,,,,4.955827,Basic service,Yes
Zone 3,4,44,Unmarried,15,32,Some college,0,No,Female,1,Yes,Yes,Yes,No,2.1,13.75,25.95,8.75,0,6.9,44.95,82.25,25,0,No,Yes,No,Yes,Yes,No,Yes,Yes,No,0.741937,2.621039,3.256172,2.169054,,3.465736,Plus service,Yes
Zone 3,20,32,Unmarried,10,19,Some college,5,No,Male,1,No,Yes,No,No,6.85,0,36.05,0,0,106.5,0,701.5,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.924249,,3.584907,,,2.944439,E-service,No
Zone 1,66,39,Married,12,60,College degree,10,No,Male,3,Yes,Yes,Yes,Yes,20.15,39.25,46.3,17.25,36.4,1443.75,2490.65,2895.25,1055,2322.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.003204,3.669951,3.835142,2.847812,3.594569,4.094345,Total service,No
Zone 3,67,47,Married,7,97,Did not complete high school,23,No,Male,4,No,No,Yes,No,22.4,0,0,18.5,0,1464.9,0,0,1225,0,No,No,No,No,Yes,Yes,Yes,Yes,No,3.109061,,,2.917771,,4.574711,Plus service,No
Zone 1,11,24,Married,0,31,High school degree,3,No,Female,4,Yes,Yes,Yes,Yes,5.4,16,39.2,13.75,33.55,83.15,189.45,422.8,140,331.65,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,1.686399,2.772589,3.668677,2.621039,3.513037,3.433987,Total service,Yes
Zone 1,6,26,Unmarried,7,30,Some college,1,No,Female,2,No,Yes,No,No,6.35,0,19.75,0,0,30.8,0,109.25,0,0,No,No,No,Yes,No,No,No,No,No,1.848455,,2.983153,,,3.401197,Basic service,Yes
Zone 2,13,23,Married,4,31,Did not complete high school,5,No,Female,4,No,Yes,No,Yes,4.6,0,35.45,0,27.7,54.85,0,398.95,0,339.75,No,Yes,Yes,Yes,No,No,No,No,Yes,1.526056,,3.568123,,3.321432,3.433987,Basic service,No
Zone 2,2,29,Married,3,44,High school degree,9,No,Female,6,Yes,Yes,Yes,Yes,2.1,16.25,43.2,12.25,33.6,5.1,31.3,47.05,5,24.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.741937,2.788093,3.76584,2.505526,3.514526,3.78419,Total service,Yes
Zone 1,4,40,Unmarried,12,38,High school degree,5,No,Male,1,No,No,Yes,No,8.15,0,0,12,0,32.25,0,0,25,0,No,No,No,No,No,No,No,No,No,2.098018,,,2.484907,,3.637586,Basic service,No
Zone 1,34,63,Married,10,23,High school degree,0,No,Female,2,Yes,Yes,Yes,Yes,14.3,19.5,39.6,15.25,28.95,459.05,616.5,1396.3,495,984.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.66026,2.970414,3.678829,2.72458,3.36557,3.135494,Total service,No
Zone 1,13,34,Married,6,37,Some college,6,No,Male,4,No,No,No,No,6.85,0,0,0,0,102.5,0,0,0,0,No,No,No,No,No,Yes,No,Yes,No,1.924249,,,,,3.610918,Plus service,No
Zone 2,37,40,Married,14,26,High school degree,0,No,Male,5,No,No,Yes,No,18.9,0,0,12,0,653.15,0,0,470,0,Yes,No,No,No,No,No,No,No,Yes,2.939162,,,2.484907,,3.258097,E-service,No
Zone 1,45,30,Married,8,38,High school degree,5,No,Male,6,No,No,Yes,No,12.75,0,0,23.75,0,622.15,0,0,1015,0,Yes,No,No,No,No,Yes,Yes,Yes,No,2.545531,,,3.167583,,3.637586,Plus service,No
Zone 2,71,70,Unmarried,30,153,Some college,34,Yes,Female,1,Yes,No,Yes,Yes,30.55,46.25,0,26.25,46.7,2291.1,3114.95,0,1805,3292.65,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.419365,3.834061,,3.267666,3.843744,5.030438,Plus service,No
Zone 1,35,40,Unmarried,5,49,Did not complete high school,20,No,Female,1,No,No,No,No,3.4,0,0,0,0,107.85,0,0,0,0,No,No,No,No,No,No,No,No,No,1.223775,,,,,3.89182,Basic service,No
Zone 3,44,41,Unmarried,21,51,Some college,7,No,Male,1,No,Yes,Yes,No,4.95,0,31.55,10.75,0,203.65,0,1301.85,460,0,No,No,No,Yes,No,No,No,No,Yes,1.599388,,3.451574,2.374906,,3.931826,Basic service,No
Zone 3,44,45,Married,19,88,Did not complete high school,21,No,Male,2,Yes,No,Yes,No,11.9,25.25,0,8.25,0,524.25,1108.4,0,305,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.476538,3.228826,,2.110213,,4.477337,Plus service,No
Zone 1,26,41,Married,20,19,Did not complete high school,0,No,Female,6,No,No,No,No,5.45,0,0,0,0,165.4,0,0,0,0,No,No,No,No,No,No,No,No,No,1.695616,,,,,2.944439,Basic service,No
Zone 2,42,46,Married,9,31,Did not complete high school,12,No,Female,3,No,No,Yes,No,5.9,0,0,23,0,277.65,0,0,945,0,No,No,No,No,No,No,No,Yes,No,1.774952,,,3.135494,,3.433987,Basic service,No
Zone 2,41,47,Married,6,90,High school degree,19,No,Male,3,No,Yes,Yes,No,6.7,0,20.2,31.25,0,251.35,0,825.15,1240,0,No,No,No,Yes,No,No,No,No,No,1.902108,,3.005683,3.442019,,4.49981,Basic service,Yes
Zone 1,31,24,Married,3,14,Did not complete high school,0,No,Male,4,No,No,No,No,7.2,0,0,0,0,231.75,0,0,0,0,No,No,No,No,No,No,No,No,No,1.974081,,,,,2.639057,Basic service,No
Zone 3,62,63,Unmarried,43,341,High school degree,30,No,Male,1,No,No,Yes,No,14.6,0,0,14.25,0,912.4,0,0,845,0,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2.681022,,,2.656757,,5.831882,Plus service,Yes
Zone 1,12,23,Married,2,24,College degree,0,No,Female,8,Yes,No,Yes,Yes,3.2,41,0,15.75,35.4,35.5,502,0,210,373,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1.163151,3.713572,,2.75684,3.566712,3.178054,Total service,No
Zone 2,45,49,Married,27,81,High school degree,7,No,Female,4,Yes,No,Yes,No,13.85,50.5,0,21,0,583.1,2284.25,0,935,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.628285,3.921973,,3.044522,,4.394449,Plus service,No
Zone 1,47,34,Married,4,63,High school degree,13,No,Female,4,No,No,Yes,No,18.95,0,0,30.5,0,880.75,0,0,1395,0,No,No,No,No,No,No,No,No,No,2.941804,,,3.417727,,4.143135,Basic service,No
Zone 2,23,22,Married,1,27,Did not complete high school,4,No,Male,5,Yes,No,Yes,No,7.9,23,0,15.75,0,210.85,515.8,0,345,0,Yes,No,No,No,Yes,Yes,Yes,No,No,2.066863,3.135494,,2.75684,,3.295837,Plus service,No
Zone 3,39,34,Unmarried,4,20,Post-undergraduate degree,3,No,Female,1,Yes,Yes,Yes,Yes,9.55,21.25,59.2,10,79.2,375.4,872.5,2361.9,385,2973,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.256541,3.056357,4.080922,2.302585,4.371976,2.995732,Total service,No
Zone 2,19,26,Unmarried,2,48,Some college,0,No,Male,2,No,No,Yes,No,7.55,0,0,6.5,0,156.15,0,0,105,0,No,Yes,No,No,Yes,Yes,Yes,No,No,2.021548,,,1.871802,,3.871201,Plus service,No
Zone 1,13,54,Unmarried,12,121,College degree,23,No,Male,1,No,No,No,No,7.3,0,0,0,0,102.4,0,0,0,0,No,No,No,No,Yes,No,Yes,Yes,No,1.987874,,,,,4.795791,Plus service,No
Zone 2,5,33,Unmarried,6,39,Some college,4,No,Male,3,Yes,Yes,No,No,2.1,19.5,27.45,0,0,5.2,81.15,103.45,0,0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,0.741937,2.970414,3.312366,,,3.663562,Total service,Yes
Zone 2,11,19,Unmarried,0,21,High school degree,0,No,Male,1,No,No,No,No,3.6,0,0,0,0,35.4,0,0,0,0,No,No,No,No,No,No,No,No,Yes,1.280934,,,,,3.044522,Basic service,Yes
Zone 3,4,32,Unmarried,2,53,College degree,5,No,Male,1,Yes,Yes,No,No,7,11,26.25,0,0,29.2,56.45,90.75,0,0,No,No,Yes,No,No,No,No,No,Yes,1.94591,2.397895,3.267666,,,3.970292,Basic service,Yes
Zone 3,17,42,Unmarried,8,58,Did not complete high school,23,No,Male,1,No,Yes,No,No,5.05,0,28.65,0,0,85.05,0,523.05,0,0,Yes,Yes,No,Yes,No,Yes,No,No,No,1.619388,,3.355153,,,4.060443,E-service,Yes
Zone 2,7,27,Unmarried,3,39,Some college,2,No,Male,1,No,No,No,No,3.55,0,0,0,0,19.7,0,0,0,0,No,No,No,No,No,No,Yes,No,No,1.266948,,,,,3.663562,Basic service,Yes
Zone 1,19,65,Unmarried,3,108,Did not complete high school,33,No,Male,3,Yes,No,Yes,No,5.95,21.5,0,11.25,0,117.55,423.6,0,190,0,No,No,No,No,Yes,Yes,Yes,Yes,No,1.783391,3.068053,,2.420368,,4.682131,Plus service,No
Zone 2,32,34,Married,0,38,Did not complete high school,10,No,Male,4,No,No,Yes,No,7.35,0,0,19.25,0,217.45,0,0,600,0,Yes,No,No,No,No,No,No,No,Yes,1.9947,,,2.957511,,3.637586,E-service,No
Zone 2,53,51,Unmarried,31,245,College degree,0,No,Male,1,Yes,No,Yes,No,18.45,28.25,0,11,0,961.75,1535.25,0,570,0,Yes,No,No,No,No,No,No,Yes,No,2.915064,3.341093,,2.397895,,5.501258,E-service,No
Zone 1,51,38,Unmarried,19,51,Did not complete high school,18,No,Female,1,Yes,No,Yes,No,11.7,26,0,23.25,0,577.1,1267.2,0,1195,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,2.459589,3.258097,,3.146305,,3.931826,Plus service,No
Zone 1,35,34,Unmarried,7,78,College degree,10,No,Female,1,No,No,Yes,No,13.9,0,0,4.5,0,556.2,0,0,135,0,No,No,No,No,No,No,No,No,No,2.631889,,,1.504077,,4.356709,Basic service,No
Zone 1,3,31,Married,4,23,College degree,4,No,Male,5,Yes,Yes,Yes,Yes,2.8,16.5,36,37.75,21.7,8.2,74.45,44.4,70,47.9,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1.029619,2.80336,3.583519,3.630985,3.077312,3.135494,Total service,Yes
Zone 1,22,48,Unmarried,7,88,College degree,12,No,Male,1,No,Yes,No,No,4.5,0,31.85,0,0,92.65,0,646.05,0,0,No,No,No,Yes,No,No,No,No,No,1.504077,,3.461037,,,4.477337,Basic service,Yes
